Timestamp,Tweet Content
2018-07-02T21:15:15.000Z,"BMW, Ford and Tesla are bracing for ""nightmare"" tariff whiplash in China https://bloom.bg/2KuPX6p #tictocnews"
2018-07-02T21:38:01.000Z,"Tariff wars rage on, creating serious impact throughout the boating industry. Orders are being cancelled & layoffs are being ordered. As the impact of tariffs begin to be felt, the boating industry is taking a multifaceted approach to confronting them.
http://bit.ly/2KmYnMP"
2018-07-02T22:17:16.000Z,Trump administration's 25% tariff on steel imports adds tension to the US spoke business. https://bicycleretailer.com/industry-news/2018/07/02/us-spoke-makers-adjusting-steel-tariff…
2018-07-02T23:47:15.000Z,The Moog Vote! --> Moog Warns Trump Tariff Threat On US Synthesizer Manufacturing - on http://Ask.Audio http://tinyurl.com/y7qaqqlv
2018-07-02T21:02:10.000Z,".
@cvpayne
 When it comes to trade, if not now, when? As a conservative, the word tariff makes me queasy; at the same time maybe our generation will be the generation with the fortitude to take on trade. Short term pain for long term gain. #Cavuto"
2018-07-02T20:02:28.000Z,Señor Trumpanzee FARTs-- Fair and Reciprocal Tariff Act https://shar.es/anSf1r
2018-07-02T22:55:06.000Z,川普：不会就关税对华妥协 专家：关税本身就是谈判 http://dlvr.it/QZGCth
2018-07-02T22:07:03.000Z,GOP Tariff Worries http://dlvr.it/QZG3Ts
2018-07-02T22:36:43.000Z,"Spartanburg Chamber CEO on auto tariff: 'Local livehoods at stake' 
https://bit.ly/2KvY6HK"
2018-07-02T20:15:00.000Z,Pre-4th of July approval update. Live and online pretty much agreeing right now. No sharp downturn in approval following family separation or tariff moves. Gallup ticks up 1 point this week.
2018-07-02T23:22:58.000Z,"In other news, 
@realDonaldTrump
 chocolate arrived. No tariff applied at the border although I suspect the rest of the Colgans will be applying protectionist measures to secure their share."
2018-07-02T23:04:11.000Z,"Today in completely foreseeable things: The 1st victims of 20% tariff would be (drumroll please) US dealership owners & employees, who as a demographic have tended to be R voters. Did they think tariffs would hurt German auto  workers first & foremost?  http://autoweek.com/article/car-news/dealers-await-fallout-import-tariff…"
2018-07-02T20:29:42.000Z,"So word in business news is that ketchup is now part of the Tariff Wars!
Nothing is sacred."
2018-07-02T20:30:03.000Z,The Trump Administration's United States Fair and Reciprocal Tariff Act Shortens to the US FART Act - https://secondnexus.com/news/trump-administration-us-fart-act/…
2018-07-02T20:16:04.000Z,欧盟警告美国不要对欧洲进口车增加关税 http://dlvr.it/QZFdX7
2018-07-02T21:27:08.000Z,美中贸易战开打在即 美国商会呼吁川普政府修正路线 http://dlvr.it/QZFw4m
2018-07-02T19:52:03.000Z,"Don't forget as a member of the Chamber our patrons 
@InspiredEnergy
 are offering £500 cash back on an energy audit if they cannot beat your current tariff!! https://buff.ly/2r1tPon #PrestonHour"
2018-07-02T23:58:44.000Z,It'll be a rough week for Illinois farmers and businesses as products ranging from ketchup to whiskey are hit by tariffs. But the looming tariff on soybean exports could be the most devastating to the state. https://trib.in/2lU38Pz
2018-07-02T20:56:19.000Z,"""Possibly most devastating to IL is the looming tariff on soybean exports...For IL, the largest producer of soybeans in the U.S. with $3 billion in exports, the impact of the proposed tariff is expected to be intense.""

cc: @BruceRauner

#twill #ilgov"
2018-07-02T20:43:15.000Z,"Early this morning I said tariff-mania was bullish. Market opened lower but ended up. Yawn! As I expected. What did I do today? Trading stops? Hot tips? No! Waste of time. Instead played Rachmaninoff at 108, and wore Rolex Gold watch to lunch. Soon roof drinks .. Petrus? Fusion.."
2018-07-02T22:32:27.000Z,"The Independent: Trump will ultimately hurt American car manufacturers with tariff plan, EU says https://independent.co.uk/news/world/europe/trump-eu-tariffs-eu-car-us-trade-war-imports-exports-steel-aluminum-a8426506.html?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter#Echobox=1530560355… https://pic.x.com/6DcvLqvnMl http://newsintweets.com/the-independent-trump-will-ultimately-hurt-american-car-manufacturers-with-tariff-plan-eu-says-https-t-co-qswz1gkrrd-https-t-co-zsb5acgmht/… #NewsInTweets #WorldNewsInTweets"
2018-07-02T19:30:12.000Z,Jobs to be lost across Canada amid tariff war http://bit.ly/2lNKrNe
